EAN;descrpcion_es;id_familia_producto;en_showroom;rack;modulo;fila;en_almacen;en_self;Ubicacion
5059340460222;AZULEJO JANISE 25X40 BLANCO MATE;178;SI;RACK 09;MODULO 1;FILA 1;SI;NO;28-13-301
5036581063580;AZULEJO PLAIN CATANZARO DECOR 20X60;178;SI;RACK 09;MODULO 1;FILA 3;SI;NO;28-13-103
5059340719603;AZULEJO MARTIA 20X60 MOSAICO AZUL;178;SI;RACK 09;MODULO 1;FILA 4;SI;NO;28-13-203
8432712279467;AZULEJO BLANCO MATE 20X20;178;SI;RACK 09;MODULO 1;FILA 2;SI;NO;28-13-303
3663602848363;AZULEJO ALEXANDRINA DECOR 25X40;178;SI;RACK 09;MODULO 1;FILA 1;SI;NO;28-13-402
5059340719634;AZULEJO MARTIA 20X60 MOSAICO GRIS;178;SI;RACK 09;MODULO 1;FILA 4;SI;NO;28-13-202
5036581063542;AZULEJO PLAIN BLANCO BRILLANTE 20X60;178;SI;RACK 09;MODULO 1;FILA 3;SI;NO;28-13-101
8432712279436;AZULEJO BLANCO BRILLO 20X20;178;SI;RACK 09;MODULO 1;FILA 2;SI;NO;28-13-302
3663602848349;AZULEJOBL ALEXANDRINA 25X40;178;SI;RACK 09;MODULO 1;FILA 1;NO;SI;26-01-102
5036581063504;AZULEJO PLAIN CATANZARO 20X60;178;SI;RACK 09;MODULO 1;FILA 3;SI;NO;28-13-201
5059340269535;AZULEJO CRIZI BLANCO MATE 30X60;178;SI;RACK 09;MODULO 1;FILA 5;NO;SI;26-02-102
5036581063887;AZULEJO PLAIN MATE 20X60;178;SI;RACK 09;MODULO 1;FILA 3;NO;SI;26-03-102
8435414124240;AZULEJO POLAR RELEVAR MATE 30X90;178;SI;RACK 09;MODULO 1;FILA 2;SI;NO;28-08-101
5036581064327;AZULEJO PEROUSO 30X60 DECOR;178;SI;RACK 09;MODULO 1;FILA 5;SI;NO;28-13-401
8429991787660;AZULEJO BLANCO BRILLO 30X60;178;SI;RACK 09;MODULO 1;FILA 5;SI;NO;28-13-403
8435414111127;AZULEJO POLAR MATE 30X90;178;SI;RACK 09;MODULO 1;FILA 2;SI;NO;28-08-203
5036581064310;AZULEJO PEROUSO 30X60;178;SI;RACK 09;MODULO 1;FILA 5;NO;SI;26-02-103
5036581064679;AZULEJO TREINTE 10X20 BLANCO;178;SI;RACK 09;MODULO 1;FILA 4;NO;SI;26-01-103
5059340719559;AZULEJO BLANCO BRILLO 30X90;178;SI;RACK 09;MODULO 1;FILA 1;NO;SI;26-05-103
5059340854229;AZULEJO SHADED SLATE 30X60 ANTRACITA DECOR;174;SI;RACK 08;MODULO 2;FILA 4;SI;NO;28-04-103
5059340854205;AZULEJO SHADED SLATE 30X60 GRIS DECOR;174;SI;RACK 08;MODULO 2;FILA 4;SI;NO;28-10-301
8429991792282;AZULEJO SOPELANA LIGHT 30X60;174;SI;RACK 08;MODULO 2;FILA 1;SI;NO;28-10-402
5059340781938;AZULEJO ZALIE NATURAL 30X90;174;SI;RACK 08;MODULO 2;FILA 3;SI;NO;28-09-403
5059340719573;AZULEJO PAMELIA 30X90 EFECTO TEXTIL MULTICOL;174;NO;#N/D;#N/D;#N/D;NO;NO;#N/D
