URL;Colección;Modelo;Código EAN;Alto con embalaje;Alto de producto;Ancho con embalaje;Ancho de producto;Espesor de producto;Fondo con embalaje;Peso del producto;Acabado;Antihielo;Cobertura;Diseño;Interior/Exterior/Ambos;Material;Rectificado;Unidades del pack;Nota adicional;Declaración de prestaciones (DoP);Antideslizante;Encastrable;Vendido por;Garantía;Normas y certificados;Clasificación PEI;Normas;Marca;Lustre;Efecto;Certificado;Error;Cobertura por paquete (m2);Escala MOHS;Nivel de tránsito
https://www.bricodepot.es/azulejo-blanco-mate-crizi-30x60-cm-5059340269535?queryID=2990e7a7b813978fe68804c2c8e0f360&objectID=132979&indexName=pro_ES_products;Crizi;;5059340269535;5.8;30 cm;30 cm;60 cm;;60;17.5;Mate;No;;Liso;Interior;Pasta roja.;No;;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_PT_5059340269535;No;No;Brico Depôt;3 años;;;;;;;;;;;
https://www.bricodepot.es/revestimiento-ceramica-plain-blanco-mate-20x60-cm-5036581063887?queryID=8b4da258a8245174a3e4813f9223cafe&objectID=260835&indexName=pro_ES_products;Plain;;5036581063887;10;20 cm;20 cm;60 cm;8.3 mm;60;22.35;Mate;No;1.44;Clásica;Interior;Pasta roja;No;12;;DOP_ES_PT_5036581063887;No;No;Brico Depôt;3 años;;;;Goodhome;Brillo;Baldosa;;;;;
https://www.bricodepot.es/revestimiento-pasta-blanca-polar-blanco-mate-30x90-cm-8435414124240?queryID=a066998292a1bcac1586339142c0dc0b&objectID=259894&indexName=pro_ES_products;Polar;;8435414124240;5;30 cm;30.3 cm;90 cm;;90.3;22;Mate;No;;;Interior;pasta blanca;Sí;;;DOP_8435414124240;No;Sí;Brico Depôt;3 años;;;;;Mate;Rugoso;;;;;
https://www.bricodepot.es/revestimiento-pasta-roja-perouso-decor-blanco-30x60-cm-5036581064327?queryID=9374f1926f00f795608a55498d00f269&objectID=132949&indexName=pro_ES_products;Perouso;;5036581064327;5.8;30 cm;30 cm;60 cm;9 mm;60;19;Brillo;No;1.26;Liso;Interior;cerámico esmaltado (pasta roja). Libre de contaminantes volátiles.;No;7;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_5036581064327;No;No;Brico Depôt;3 años;primera_calidad_ES;;;;Brillante;;;;;;
https://www.bricodepot.es/revestimiento-pasta-blanca-blanco-brillo-30x60-cm-8429991787660?queryID=a5f47da10a86ea2d260a65a0682fb347&objectID=259901&indexName=pro_ES_products;;;8429991787660;7;30 cm;30.5 cm;60 cm;;60.5;21.5;Brillo;No;;;Interior;pasta blanca;Sí;;;;No;Sí;Brico Depôt;3 años;;;;;Brillo;Baldosa;;;;;
https://www.bricodepot.es/revestimiento-pasta-blanca-polar-blanco-mate-30x90-cm-8435414111127?queryID=d4b28d84a19870f80011e4391146e84a&objectID=259895&indexName=pro_ES_products;Polar;;8435414111127;5;30 cm;30.3 cm;90 cm;;90.3;22;Mate;No;;;Interior;pasta blanca;Sí;;;DOP_8435414111127;No;Sí;Brico Depôt;3 años;;;;;Mate;Rugoso;;;;;
https://www.bricodepot.es/azulejo-ceramico-blanco-brillo-perouso-30x60-cm-5036581064310?queryID=69593764a74394eca137769ae43ed791&objectID=132948&indexName=pro_ES_products;Perouso;;5036581064310;5.8;30 cm;30 cm;60 cm;9 mm;60;2.5;Brillo;No;1.26;Liso;Interior;cerámico esmaltado (pasta roja). Libre de contaminantes volátiles.;No;7;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_5036581064310;No;No;Brico Depôt;3 años;primera_calidad_ES;;;;Brillante;;;;;;
https://www.bricodepot.es/azulejo-ceramico-blanco-brillo-treinte-10-x-20-cm-5036581064679?queryID=3b3dd5f52ec6872309143c648bb7a108&objectID=132950&indexName=pro_ES_products;Trentie;;5036581064679;9.5;10 cm;20 cm;20 cm;7 mm;20;13.31;Brillo;No;;Liso;Interior;pasta roja;No;50;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581064679;No;No;Brico Depôt;3 años;primera_calidad_ES;PEI2;;;;;;;;;
https://www.bricodepot.es/revestimiento-pasta-blanca-blanco-brillo-30x90-cm-cooke-lewis-5059340719559?queryID=c41487ff0fd14ece96eb78b25b59a481&objectID=259893&indexName=pro_ES_products;;;5059340719559;5.3;30 cm;30.3 cm;90 cm;;90.3;21.5;Brillo;No;;;Interior;pasta blanca;Sí;;;DOP_ES_PT_5059340719559;No;Sí;Brico Depôt;3 años;;;;Cooke & Lewis;Brillo;Baldosa;;;;;
https://www.bricodepot.es/azulejo-shaded-slate-grey-decor-30x60-cm-5036581066635?queryID=5159f115bac45552a02453a6386a839f&objectID=132972&indexName=pro_ES_products;shaded;;5036581066635;31;61.5 cm;8 cm;30.8 cm;7.5 mm;62;3;Mate;Sí;1.32;Piedra;Interior-Exterior;gres porcelanico;No;7;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581066635;No;No;Brico Depôt;3 años;;PEI4;;;;;;;;;
https://www.bricodepot.es/azulejo-shaded-slate-grey-decor-30x60-cm-5036581066635?queryID=5159f115bac45552a02453a6386a839f&objectID=132972&indexName=pro_ES_products;shaded;;5036581066635;31;61.5 cm;8 cm;30.8 cm;7.5 mm;62;3;Mate;Sí;1.32;Piedra;Interior-Exterior;gres porcelanico;No;7;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;DOP_5036581066635;No;No;Brico Depôt;3 años;;PEI4;;;;;;;;;
https://www.bricodepot.es/revestimiento-pasta-blanca-sopelana-gris-mate-30x60-cm-8429991792282?queryID=66758034992893f4891fc33cc70258df&objectID=259891&indexName=pro_ES_products;Sopelana;;8429991792282;7;30 cm;30.5 cm;60 cm;;60.5;21.5;Mate;No;;;Interior;pasta blanca;Sí;;;;No;Sí;Brico Depôt;3 años;;;;;Mate;Cemento;;;;;
https://www.bricodepot.es/azulejo-zalie-natural-30x90-cm-5059340781938?queryID=61d1464e17e6d7df4f322d1fb4dfa564&objectID=246485&indexName=pro_ES_products;Piedra;Zalie;5059340781938;4.8;30 cm;90.4 cm;90 cm;8.7 mm;30.4;21.2;Mate;No;1.35;Piedra;Interior;Cerámica. PB;Sí;5;Se espera cierto grado de variación en el color o en el tono de estos productos. Escoja siempre cajas que tengan el mismo número de referencia, en cuanto a selección y tono, calibre y producción. Es recomendable adquirir un 15 % más de material.;DOP_ES_PT_5059340781938;No;No;Brico Depôt;3 años;;;;;Mate;;ISO 9001;;;;
https://www.bricodepot.es/revestimiento-pasta-blanca-sopelana-cemento-30x60-cm-8429991787622?queryID=df0c9c9632ea3c7096ffc9dbb162f63e&objectID=259897&indexName=pro_ES_products;Sopelana;;8429991787622;7;30 cm;30.5 cm;60 cm;;60.5;21.5;Mate;No;;;Interior;pasta blanca;Sí;;;;No;Sí;Brico Depôt;3 años;;;;;Mate;Cemento;;;;;
https://www.bricodepot.es/azulejo-octavio-piedra-efecto-madera-30x90-cm-5059340719535?queryID=617e324d31c397e12ed5eedd834718c4&objectID=246478&indexName=pro_ES_products;Piedra;Octavio;5059340719535;5.5;90 cm;90 cm;30 cm;8.7 mm;30;22;Mate;No;1.35;Con relieve;Interior;Pasta blanca;Sí;5;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;;No;No;Brico Depôt;3 años;primera_calidad_ES;;;;;Madera;;;;;
https://www.bricodepot.es/azulejo-pablo-piedra-beige-30x90-cm-5059340719658?queryID=d9667a3c791b1a396f14727e3cf0a28b&objectID=246483&indexName=pro_ES_products;Piedra;Pablo;5059340719658;4.5;30 cm;90 cm;90 cm;8.7 mm;30;21.5;Mate;No;1.35;Piedra;Interior;Pasta Blanca;Sí;5;Durante el proceso de fabricación de las piezas de cerámica, el tono y/o el calibre pueden sufrir pequeñas variaciones. Es recomendable adquirir un 15 % más de material.;;No;No;Brico Depôt;3 años;primera_calidad_ES;;;;;;;;;;
https://www.bricodepot.es/revestimiento-pasta-blanca-leno-gris-30x60-cm-8429991787639?queryID=2374114e1228fff76c68da8d4de93619&objectID=259898&indexName=pro_ES_products;Leño;;8429991787639;7;30 cm;30.5 cm;60 cm;;60.5;21.5;Mate;No;;;Interior;pasta blanca;Sí;;;;No;Sí;Brico Depôt;3 años;;;;;Mate;Baldosa;;;;;
